0.065 ,0.054 ,0.054 ,0.051 ,0.047 
0.176,0.172,0.169,0.166,0.166
0.070017953,0.047738693,0.045558087,0.029471545,0.029471545
0.512195122,0.512195122,0.487804878,0.487804878,0.475609756
0.038338658,0.038095238,0.030555556,0.030555556,0.018062397
0.313364055,0.313364055,0.30875576,0.30875576,0.30875576
3202 ,3164 ,3136 ,3122 ,3042 
5720,5682,5676,5660,5598
4720,4602,4602,4536,4180
8332,8220,8180,8106,7968
6578,6538,6538,5946,5600
12012,12000,11944,11778,11778
0.020 ,0.021 ,0.016 ,0.014 ,0.014 
0.051,0.05,0.051,0.05,0.049
0.014501892,0.009159373,0.008454674,0.006495917,0.006495917
0.294520548,0.289954338,0.289954338,0.287671233,0.280821918
0.049564635,0.02283105,0.019,0.019,0.01429479
0.16091954,0.160098522,0.155172414,0.153530378,0.153530378
3908 ,3446 ,3346 ,3295 ,3164 
4922,4912,4874,4832,4804
4636,4270,4214,4214,4020
7920,7794,7766,7746,7566
6692,6692,6258,5752,5122
11410,11396,11382,11186,11186
0.145015106,0.102 ,0.098 ,0.096676737,0.088 
0.275,0.255,0.235,0.225,0.205
0.039806653,0.032045455,0.027726772,0.018170523,0.018170523
0.129661017,0.118813559,0.108813559,0.098813559,0.088813559
0.009962049,0.009458749,0.009166999,0.009166999,0.003330373
0.166467066,0.156467066,0.13467066,0.116467066,0.105868263
816,782,716,700,692
1004,954,954,916,886
4074,3974,3968,3968,3766
6700,6658,6556,6622,6586
4420,4384,4094,4068,4068
6366,6366,6364,6290,6166
0.109 ,0.092 ,0.092 ,0.079 ,0.052 
0.237,0.142,0.105,0.098,0.067
0.113,0.03,0.023,0.024,0.023
0.158,0.065,0.028,0.014,0.009
0.237,0.103,0.095,0.073,0.074
0.256,0.101,0.081,0.057,0.05
0.030 ,0.013 ,0.027 ,0.056 ,0.029 
29.699,26.542,24.046,22.046,19.266
0.001675596,0.007322692,0.009990358,0.009990358,0.103540513
25.2244898,19.0995025,16.6415094,14.3636364,11.7731092
0.093511793,0.018949871,0.018949871,0.01811603,0.006462552
31.51632653,28.12524462,21.12524462,18.12524462,12.38112523
